,Partner,Model,Feature,Importance
6,CHN,LGBM,ImportGrowth,365.0
13,CHN,LGBM,TariffRate_lag1,274.5
1,CHN,LGBM,Exposure,237.0
7,CHN,LGBM,ImportValue,117.5
8,CHN,LGBM,ImportValue_lag1,116.5
49,DEU,LGBM,Exposure,424.0
61,DEU,LGBM,TariffRate_lag1,264.0
55,DEU,LGBM,ImportValue,111.0
54,DEU,LGBM,ImportGrowth,104.0
56,DEU,LGBM,ImportValue_lag1,77.0
97,IND,LGBM,Exposure,315.0
100,IND,LGBM,GDP_Reporter,263.0
104,IND,LGBM,ImportValue_lag1,237.0
109,IND,LGBM,TariffRate_lag1,186.0
103,IND,LGBM,ImportValue,159.0
145,JPN,LGBM,Exposure,328.0
150,JPN,LGBM,ImportGrowth,247.0
151,JPN,LGBM,ImportValue,225.0
152,JPN,LGBM,ImportValue_lag1,182.0
157,JPN,LGBM,TariffRate_lag1,110.0
